ZIP,SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,ORGFLSUBCHP,CRNTCHP,CRNTFLSUBCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,CLSUBCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT,GEOID
38107,2022-12-31,1,1,0,BK06512222317800,06,51,2,2223178,0,0,,2022-08-02,2022-08-02,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,17025,0,17025,15295,14000,0,1295,15295,0,15295,2781,2300,1975,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222536100,06,51,2,2225361,0,0,,2022-12-06,2022-12-06,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,7015,0,7015,22296,0,0,22296,22296,0,22296,800,2706,2385,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222546400,06,51,2,2225464,0,0,,2022-12-09,2022-12-09,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,48690,26000,22690,27144.37,25788.6,0,1355.77,27144.37,0,27144.37,3455,500,1082,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222147500,06,51,2,2221475,0,0,,2022-04-14,2022-04-14,2022,2022,7,,7,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,p,v,i,i,,Y,A,A,A,A,A,A,n,n,,,8338,0,8338,15233.78,0,0,15233.78,15233.78,0,15233.78,2282.97,2844.5,2808,,,,,10.6.4,2022-12-30,2022,2023,7,,n,O,2022-12-30,2022,2023,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222065400,06,51,2,2220654,0,0,,2022-02-24,2022-02-24,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,B,B,B,B,A,A,y,y,,,98620,90900,7720,85238.23,67959.28,734.01,16544.94,84504.22,734.01,85238.23,0,4425.38,3115.72,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222463200,06,51,2,2224632,0,0,,2022-10-21,2022-10-21,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,3005,0,3005,6910,1279,0,5631,6910,0,6910,256,1097,995,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222004800,06,51,2,2220048,0,0,,2022-01-05,2022-01-05,2022,2022,7,,7,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,p,v,i,i,,N,A,A,A,A,A,A,n,n,,,6140,0,6140,40345.4,5893,5964,28488.4,24997.4,15348,40345.4,4959.8,3472.24,3449,,,,,10.6.3,2022-05-26,2022,2022,7,,n,A,2022-05-20,2022,2022,,,NA,NA,NA,NA,,10.6.3,N,38107
38107,2022-12-31,1,0,1,BK06512222123400,06,51,2,2221234,0,0,,2022-04-01,2022-04-01,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,Y,A,A,A,A,A,A,y,y,,,14535,0,14535,22296,8000,0,14296,22296,0,22296,800,2037,1670,,,,,10.6.4,2022-10-04,2022,2023,13,,n,K,2022-07-01,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,0,1,BK06512222178700,06,51,2,2221787,0,0,,2022-05-06,2022-05-06,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,Y,A,A,A,A,A,A,y,y,,,26522,23900,2622,9274.9,5174.49,0,4100.41,9274.9,0,9274.9,2774.33,1083.33,852,,,,,10.6.4,2022-10-31,2022,2023,13,,n,I,2022-07-27,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222314300,06,51,2,2223143,0,0,,2022-08-01,2022-08-01,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,8225,0,8225,6475.66,6000,0,475.66,6475.66,0,6475.66,1077,1077,867,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222039500,06,51,2,2220395,0,0,,2022-02-04,2022-02-04,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,Y,A,A,A,A,A,A,y,y,,,7485,0,7485,31392,7178,0,24214,31392,0,31392,1441.55,2705.56,2285,,,,,10.6.4,2022-08-02,2022,2022,13,,n,T,2022-04-29,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,0,1,BK06512222137100,06,51,2,2221371,0,0,,2022-04-08,2022-04-08,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,p,v,i,i,,N,C,C,C,C,A,A,y,y,,,174900,159600,15300,108778.42,83413.02,0,25365.4,84581.77,24196.65,108778.42,1220,4714.67,3235,,,,,10.6.4,2022-09-19,2022,2022,13,,n,I,2022-06-09,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222340300,06,51,2,2223403,0,0,,2022-08-15,2022-08-15,2022,2022,7,,7,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,n,n,,,10500,0,10500,20639.18,2000,0,18639.18,20639.18,0,20639.18,3051.91,1861.76,1850,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222280100,06,51,2,2222801,0,0,,2022-07-11,2022-07-11,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,14535,0,14535,22296,8000,0,14296,22296,0,22296,800,2585,2190,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222037600,06,51,2,2220376,0,0,,2022-02-02,2022-02-02,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,N,A,A,A,A,A,A,y,y,,,3822,0,3822,8602.5,2400,5000,1202.5,3602.5,5000,8602.5,737.5,2329.16,2000,,,,,10.6.4,2022-08-28,2022,2022,13,,n,T,2022-05-26,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222542200,06,51,2,2225422,0,0,,2022-12-08,2022-12-08,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,B,B,A,A,y,y,,,13326,0,13326,67818.57,15358,0,52460.57,40298.57,27520,67818.57,2061.25,2303.58,1709,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222129400,06,51,2,2221294,0,0,,2022-04-04,2022-04-04,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,7450,0,7450,32148.56,5210,0,26938.56,32148.56,0,32148.56,1900,1900,1665,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222143700,06,51,2,2221437,0,0,,2022-04-13,2022-04-13,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,N,A,A,A,A,A,A,y,y,,,12008,0,12008,16383,2400,0,13983,16383,0,16383,2788.32,2662.35,2469,,,,,10.6.4,2022-10-06,2022,2023,13,,n,T,2022-07-07,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222427300,06,51,2,2224273,0,0,,2022-10-04,2022-10-04,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,9310,0,9310,18407,9500,0,8907,18407,0,18407,1111.11,2412.06,2050,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222459300,06,51,2,2224593,0,0,,2022-10-19,2022-10-19,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,39977,25700,14277,29791.23,13164,0,16627.23,29791.23,0,29791.23,2367,1489,1065,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222132400,06,51,2,2221324,0,0,,2022-04-06,2022-04-06,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,C,C,C,C,A,A,y,y,,,141659,133000,8659,134225.69,117460.59,0,16765.1,134225.69,0,134225.69,841,2057,820,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222135400,06,51,2,2221354,0,0,,2022-04-07,2022-04-07,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,32720,23000,9720,18801.4,15000,0,3801.4,18801.4,0,18801.4,500,1060,750,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222202200,06,51,2,2222022,0,0,,2022-05-20,2022-05-20,2022,2022,13,,13,,c,c,y,381070000,47157,n,n,NA,381070000,47157,n,n,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,29850,0,29850,37416.25,33600,0,3816.25,37416.25,0,37416.25,5776.33,4276.3,3050,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222071200,06,51,2,2220712,0,0,,2022-02-28,2022-02-28,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,5102,0,5102,28476.83,4610.31,0,23866.52,28476.83,0,28476.83,1060,1060,1032,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222046600,06,51,2,2220466,0,0,,2022-02-09,2022-02-09,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,p,p,v,i,i,,N,B,B,A,A,A,A,y,y,,,59000,50000,9000,13369.24,8863.37,0,4505.87,13369.24,0,13369.24,860,860,996,,,,,10.6.4,2022-10-18,2022,2023,13,,n,I,2022-05-12,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
38107,2022-12-31,1,1,0,BK06512222381100,06,51,2,2223811,0,0,,2022-09-07,2022-09-07,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,2870,0,2870,27399.66,0,0,27399.66,27399.66,0,27399.66,1013.22,2357.56,2165,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222454500,06,51,2,2224545,0,0,,2022-10-18,2022-10-18,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,49250,48000,1250,18961.08,2009.37,0,16951.71,18961.08,0,18961.08,0,1303,1110,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222487500,06,51,2,2224875,0,0,,2022-11-04,2022-11-04,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,C,C,A,A,y,y,,,22590.25,0,22590.25,117455.88,20773.23,0,96682.65,41331.88,76124,117455.88,2430,2736.95,2080,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222535700,06,51,2,2225357,0,0,,2022-12-05,2022-12-05,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,10350,0,10350,10420,7300,0,3120,10420,0,10420,946,985,805,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222044900,06,51,2,2220449,0,0,,2022-02-08,2022-02-08,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,C,C,A,A,y,y,,,42900,35500,7400,124307.3,4280.83,0,120026.47,24307.3,100000,124307.3,3423.85,2734.68,2491,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222049000,06,51,2,2220490,0,0,,2022-02-11,2022-02-11,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,i,v,i,i,,Y,A,A,A,A,A,A,y,y,,,17320,14400,2920,14919.69,2240.8,0,12678.89,14919.69,0,14919.69,400,1363,945,,,,,10.6.4,2022-08-22,2022,2022,13,,n,I,2022-05-18,2022,2022,,,NA,NA,NA,NA,,10.6.4,N,38107
